# ── 코드값 범례 (continent/weakness, regionKind, tier, grouping 열은 아래 영문 코드 중 하나를 그대로 입력) ──
# continent, weakness 열: Physics(물리) / Chemistry(화학) / Biology(생명과학) / EarthSci(지구과학) / Math(수학) / Info(정보) / Mesoria(메조리아)
#   → weakness는 보통 continent와 동일(그 과목 스킬로 약점 공략). 혼종 몬스터만 다르게.
# regionKind 열: Landmark(랜드마크) / MidZone(중간구역)
# tier 열: Normal(잡몹) / MiniBoss(중간보스) / Boss(보스) — Boss는 07_보스전.md의 BossDef가 전투를 담당하므로 스탯 칸은 비워두고 bossDefId만 채움
# grouping 열: Swarm(군집) / Solo(단일)
# skills 열: "이름:타입" 쌍을 세미콜론(;)으로 구분. 타입은 자유 서술(근접/원거리/이동형/장판 등)
# nation, region, family, habitat 열은 전부 한글 자유 서술 — 코드값 아님

id,nameKo,continent,nation,region,regionKind,tier,family,grouping,habitat,levelMin,levelMax,weakness,maxHp,def,expReward,skills,dropGold,dropMaterialAmt,dropItems,iconPath,modelPath,desc,bossDefId

# ===== Physics (물리 — 뉴토니아 퀀티카) =====
# 국가: 뉴턴 제국 / 맥스웰 공국 / 볼츠만 열공화국 / 아인슈타인 연방 / 양자혁명군
# 랜드마크: 만유인력의 왕궁, 빛의 속도 철로, 엔트로피의 대로, 시공간 왜곡 관측소, 슈뢰딩거의 상자 연구소
# (아직 입력된 몬스터 없음 — 이 섹션 아래에 행을 추가하세요)

# ===== Chemistry (화학 — 알케미아 신성연합) =====
# 국가: 교황청 인오르가니아 / 황제령 오르가니아 / 피지컬리아 공국 / 아날리티카 연맹 / 오비탈 혁명파
# 랜드마크: 원소 주기율표 대성당, 벤젠의 육각 신전, 촉매의 영원한 화로, 분광 분석의 등대, 전자구름의 혼돈 지대
# (아직 입력된 몬스터 없음)

# ===== Biology (생명과학 — 바이오스) =====
# 국가: 헬릭스 제국 / 제네시스 왕국 / 에코스 연맹
# 랜드마크: 이중나선 황궁, CRISPR 편집 연구소, 멘델의 유전 도서관, 해부학의 지하 성역, 진화의 세계수, 생태계 순환 대원
# (아직 입력된 몬스터 없음)

# ===== EarthSci (지구과학 — 테라 노바) =====
# 국가: 천문 부족 / 해양 부족 / 대기 부족 / 지질 부족
# 랜드마크: 거대 천문대 피라미드, 세계 해류 신전, 토네이도 정령의 영혼 평원, 판구조 산맥 신전, 판게아 유적
# 대기 부족 — 토네이도 정령의 영혼 평원(진입 던전, 권장 lv5-10): 협곡 공통 잡몹 2종(유물형) + 협곡별 전용 3종(중간보스 미니어 버전)
earthsci_tornado-plains_normal_anemometer-tripod,풍속계 삼발이,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Normal,유물형,Solo,지상·협곡,5,8,EarthSci,70,5,40,회전베기:근접,8,1,,,,폭주한 풍속계(아네모미터)가 다리 셋 달린 유물형 몬스터로 변이했다. 협곡 전역에 출몰.,
earthsci_tornado-plains_normal_radiosonde-balloon,라디오존데 풍선,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Normal,유물형,Solo,공중,5,8,EarthSci,55,3,40,바람구슬투척:원거리,8,1,,,,폭주한 라디오존데 풍선이 압력계를 흡수해 바람구슬을 쏘아내는 유물형 몬스터. 협곡 전역 공중에 부유한다.,
earthsci_tornado-plains_normal_gale-sprite,바람정령 새끼,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Normal,정령,Swarm,공중·협곡,5,6,EarthSci,55,3,32,상승돌풍:이동형,6,1,,,,해들리의 파수꾼을 따르는 작은 바람 정령 새끼들. 해들리 협곡에서 무리지어 떠다닌다.,
earthsci_tornado-plains_normal_mist-fox-kit,짧은다리 안개여우,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Normal,야수,Swarm,지상·협곡,6,7,EarthSci,65,4,38,안개도약:이동형,7,1,,,,페렐의 방랑자를 닮아 짧게 순간이동하듯 뛰어다니는 안개 여우 무리. 페렐 협곡에 서식한다.,
earthsci_tornado-plains_normal_wind-wyrmling,바람무녀기,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Normal,용족,Swarm,지상·협곡,7,8,EarthSci,80,5,45,S자돌진:근접,9,1,,,,로스비의 이무기를 닮은 새끼 무녀기. S자로 구불거리며 로스비 협곡을 누빈다.,
earthsci_tornado-plains_miniboss_hadley-guardian,해들리의 파수꾼,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,MiniBoss,정령,Solo,공중,8,8,EarthSci,110,6,70,상승기류:장판; 하강기류:장판,20,2,협곡열쇠_해들리:1,,,해들리 순환의 상승·하강 기류를 다스리는 정령. 수직축 중심 전투 — 텔레그래프가 가장 정직해 진입 관문 역할을 한다.,
earthsci_tornado-plains_miniboss_ferrel-wanderer,페렐의 방랑자,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,MiniBoss,안개령,Solo,지상·협곡,9,9,EarthSci,130,7,85,순간이동일격:이동형; 안개장판:장판,25,2,협곡열쇠_페렐:1,,,페렐 순환의 불안정함을 닮아 짧은 거리를 무작위로 순간이동하는 안개 형체. 위치는 예측 불가하지만 공격 텔레그래프는 명확하다.,
earthsci_tornado-plains_miniboss_rossby-wyrm,로스비의 이무기,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,MiniBoss,용족,Solo,지상·협곡,9,10,EarthSci,160,8,100,S자돌진:이동형; 무녀기소환:소환,30,3,협곡열쇠_로스비:1,,,로스비파의 기상도 파동선을 형상화한 이무기. S자로 구불거리며 지나간 자리에 새끼 무녀기(바람무녀기)를 소환한다.,
earthsci_tornado-plains_boss_hadley,해들리,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Boss,,Solo,,10,12,EarthSci,,,,,,,,,,BossDef(07_보스전.md·해들리.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Hadley
earthsci_tornado-plains_boss_ferrel,페렐,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Boss,,Solo,,10,12,EarthSci,,,,,,,,,,BossDef(07_보스전.md·페렐.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Ferrel
earthsci_tornado-plains_boss_rossby,로스비,EarthSci,대기 부족,토네이도 정령의 영혼 평원,Landmark,Boss,,Solo,,10,12,EarthSci,,,,,,,,,,BossDef(07_보스전.md·로스비.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Rossby

# 판게아 유적(4부족 중앙 허브, 권장 lv10-15): 구역 공통 잡몹 2종(살아있는 지질/광물) + 구역별 전용 3종(중간보스 미니어 버전)
earthsci_pangea-ruins_normal_rock-shard,암석파편,EarthSci,판게아 유적,판게아 유적,Landmark,Normal,광물형,Swarm,지상·균열,10,11,EarthSci,85,6,50,암석돌진:근접,9,1,,,,균열암석거인이 떨굴 때 함께 떨어진 파편이 생명력을 얻어 기어다니는 작은 암석 생명체. 판게아 유적 전역에 출몰.,
earthsci_pangea-ruins_normal_salt-crystal,염분결정,EarthSci,판게아 유적,판게아 유적,Landmark,Normal,광물형,Swarm,해저·균열,10,11,EarthSci,75,5,48,결정파열:원거리,9,1,,,,대서양 염분 성분이 결정화된 덩어리. 물살 속에 느리게 떠다니다가 응결을 터뜨려 공격한다.,
earthsci_pangea-ruins_normal_rock-giant-cub,새끼암석거인,EarthSci,판게아 유적,판게아 유적,Landmark,Normal,광물형,Solo,지상·열곡대,11,12,EarthSci,100,7,58,암석주먹:근접,11,1,,,,균열암석거인의 미니어 버전. 동아프리카 열곡대 구역에서 서식한다.,
earthsci_pangea-ruins_normal_mini-chimney-crystal,미니굴뚝결정,EarthSci,판게아 유적,판게아 유적,Landmark,Normal,광물형,Solo,해저·해령,12,13,EarthSci,115,8,65,열수분사:원거리,13,1,,,,열수구 굴뚝괴물의 미니어 버전. 대서양 중앙해령 구역에서 서식한다.,
earthsci_pangea-ruins_normal_lone-magnetite,홀자철석,EarthSci,판게아 유적,판게아 유적,Landmark,Normal,광물형,Solo,해저·해팽,13,14,EarthSci,130,9,72,자기충격:근접,15,1,,,,쌍둥자철석이 아직 하나이던 어린 상태. 동태평양 해팽 구역에서 서식한다.,
earthsci_pangea-ruins_miniboss_rift-rock-giant,균열암석거인,EarthSci,판게아 유적,판게아 유적,Landmark,MiniBoss,광물형,Solo,지상·열곡대,12,12,EarthSci,150,9,95,암석강타:근접; 균열장판:범위형,28,2,판게아증거_베게너:1,,,동아프리카 열곡대의 갈라지는 대지를 형상화한 암석 거인. 판 조각 위에서 싸우며 몸이 점점 갈라진다 — 3종 중 가장 느리고 정직함(진입 관문 역할).,
earthsci_pangea-ruins_miniboss_vent-chimney,열수구굴뚝괴물,EarthSci,판게아 유적,판게아 유적,Landmark,MiniBoss,광물형,Solo,해저·해령,13,13,EarthSci,180,10,110,광물분출:원거리; 압력파폭발:광역,32,2,판게아증거_홈스:1,,,대서양 중앙해령의 열수 분출구가 응결되어 생명을 얻은 광물 덩어리. 대류 메커니즘을 광물분출과 압력파로 형상화한다.,
earthsci_pangea-ruins_miniboss_twin-magnetite,쌍둥자철석,EarthSci,판게아 유적,판게아 유적,Landmark,MiniBoss,광물형,Solo,해저·해팽,14,15,EarthSci,220,12,135,대칭공격:광역,36,3,판게아증거_헤스:1,,,동태평양 해팽의 대칭 자기줄무늬 증거를 형상화한 쌍둥이 자철석 결정체. 두 개체가 항상 대칭 위치에서 동시 공격 — 3종 중 가장 빠르고 복잡함(최고 난이도).,
earthsci_pangea-ruins_boss_wegener,베게너,EarthSci,판게아 유적,판게아 유적,Landmark,Boss,,Solo,,12,14,EarthSci,,,,,,,,,,BossDef(07_보스전.md·베게너.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Wegener
earthsci_pangea-ruins_boss_holmes,홈스,EarthSci,판게아 유적,판게아 유적,Landmark,Boss,,Solo,,12,14,EarthSci,,,,,,,,,,BossDef(07_보스전.md·홈스.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Holmes
earthsci_pangea-ruins_boss_hess,헤스,EarthSci,판게아 유적,판게아 유적,Landmark,Boss,,Solo,,12,15,EarthSci,,,,,,,,,,BossDef(07_보스전.md·헤스.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Hess

# 거대 천문대 피라미드(천문 부족, 권장 lv14-19): 등반부 공통 잡몹 2종(별자리 수호자 정령 계열) + 계단별 전용 3종(중간보스 미니어 버전)
earthsci_pyramid-observatory_normal_star-swarm-spirit,별무리정령,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Normal,정령,Swarm,공중,14,15,EarthSci,110,7,65,빛산탄:원거리,14,1,,,,밤하늘을 떠도는 작은 빛 입자들이 모여 이룬 정령. 반투명한 별무리 형태로 공중을 떠다니다가 빛을 협사해 공격한다.,
earthsci_pyramid-observatory_normal_relief-guardian,부조수호상,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Normal,정령,Solo,지상,14,15,EarthSci,125,9,68,근접타격:근접,14,1,,,,피라미드 계단을 장식하던 석상 부조가 생명을 얻어 걸어다니는 수호상. 몸에 새겨진 별자리 문양이 움직일 때마다 희미하게 빛난다.,
earthsci_pyramid-observatory_normal_baby-sun,새끼태양,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Normal,천체,Solo,공중,15,16,EarthSci,140,9,75,공전충돌:이동형,17,1,,,,떠도는 소형태양의 미니어 버전. 공전하는 행성 없이 홀로 반짝이며 코페르니쿠스 계단을 떠돈다.,
earthsci_pyramid-observatory_normal_lone-moon,홀로위성,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Normal,천체,Solo,공중,16,17,EarthSci,160,10,85,위성돌진:이동형,19,1,,,,목성위성무리에서 떨어져나온 작은 위성 하나. 무리를 이루지 못한 채 갈릴레이 계단을 홀로 떠돈다.,
earthsci_pyramid-observatory_normal_short-tail-comet,짧은꼬리혜성,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Normal,천체,Solo,공중,17,18,EarthSci,180,12,95,타원돌진:이동형,22,1,,,,타원궤도혜성의 미니어 버전. 꼬리가 짧아 궤도가 불안정하며 케플러 계단을 빠르게 가로지른다.,
earthsci_pyramid-observatory_miniboss_drifting-sun,떠도는소형태양,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,MiniBoss,천체,Solo,공중,16,16,EarthSci,170,10,110,공전장판조임:장판,25,2,천문열쇠_코페르니쿠스:1,,,자신을 중심으로 작은 행성들이 공전하는 미니어처 태양계 그 자체. 중심은 거의 정지한 채 공전 장판이 점점 조여들며 접근 — 지동설을 전투 구도로 직역한 3종 중 가장 정직한 관문.,
earthsci_pyramid-observatory_miniboss_jovian-moons,목성위성무리,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,MiniBoss,천체,Solo,공중,17,17,EarthSci,200,12,125,시차위성돌진:이동형,28,2,천문열쇠_갈릴레이:1,,,갈릴레이가 발견한 목성의 4대 위성(이오·유로파·가니메드·칼리스토)이 살아 움직이는 무리. 각기 다른 거리에서 공전하다 안쪽부터 순차적으로 근접 돌진한다.,
earthsci_pyramid-observatory_miniboss_elliptical-comet,타원궤도혜성,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,MiniBoss,천체,Solo,공중,18,19,EarthSci,240,14,150,근일점돌진:이동형,32,3,천문열쇠_케플러:1,,,길게 늘어진 타원 궤도를 실제로 그리며 이동하는 혜성체. 원일점에서는 느리게 접근하다 근일점 진입 순간 급가속해 돌진한다(케플러 제2법칙 직역) — 3종 중 가장 복잡한 최고 난이도.,
earthsci_pyramid-observatory_boss_copernicus,코페르니쿠스,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Boss,,Solo,,16,18,EarthSci,,,,,,,,,,BossDef(07_보스전.md·코페르니쿠스.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Copernicus
earthsci_pyramid-observatory_boss_galileo,갈릴레이,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Boss,,Solo,,16,18,EarthSci,,,,,,,,,,BossDef(07_보스전.md·갈릴레이.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Galileo
earthsci_pyramid-observatory_boss_kepler,케플러,EarthSci,천문 부족,거대 천문대 피라미드,Landmark,Boss,,Solo,,16,19,EarthSci,,,,,,,,,,BossDef(07_보스전.md·케플러.md) 참조 — 이 행은 도감 인덱스일 뿐 전투 스탯을 소유하지 않음,Kepler

# ===== Math (수학 — 아틀란티스) =====
# 국가: 유클리드 평원 / 산술의 탑 / 해석의 바다 / 대수의 숲 / 논리·집합의 고원 / 아크시움
# 랜드마크: 유클리드 대성당, 힐베르트의 무한 호텔, 뉴턴-라이프니츠 폭포, 페르마의 마지막 서재, 러셀의 역설 탑, 세계수 아크시움
math_forest-algebra_normal_unknown-vine,미지수 덩굴,Math,대수의 숲,대수의 숲,MidZone,Normal,식물형,Swarm,지상·밀림,3,5,Math,50,3,30,채찍질:근접,5,1,,,,대수의 숲에서 스스로도 미지수처럼 형태가 불명확한 덩굴형 몬스터. 여러 마리가 함께 자란다.,
math_logic-highlands_miniboss_cantor-dragon,칸토르의 용,Math,논리·집합의 고원,러셀의 역설 탑,Landmark,MiniBoss,용족,Solo,공중,15,18,Math,220,10,150,무한도약:이동형; 모순의숨결:원거리,40,3,증명조각:1,,,무한대를 오가는 드래곤형 생물. 논리·집합의 고원에서 목격된다.,
